prothetic1,723fa316-04dc-4131-97b7-58b9e67ff81e,Александр,Беляев,alex.b@bionicpro.ru,2025-01-15
prothetic2,bda49db8-12cd-4da0-96f3-8b89e3cb1b83,Иван,Ковалев,ivan.k@mail.ru,2025-02-20
prothetic3,3fa85f64-5717-4562-b3fc-2c963f66afa6,Елена,Морозова,e.morozova@yandex.ru,2025-03-10
user1,a582312b-381c-4b33-911b-684a0c8b3234,Дмитрий,Петров,d.petrov@bionicpro.ru,2025-04-05
user2,5e9c6123-74d1-4b12-ba78-ef22a188bc8a,Ольга,Соколова,olga.s@gmail.com,2025-05-12
sergey_v,19cfa456-91ba-4322-94bc-ad23b789ef23,Сергей,Волков,s.volkov@bionicpro.ru,2025-06-01
anna_t,cdba3412-56ef-47aa-bc12-de78f123bc45,Анна,Титова,anna.t@list.ru,2025-07-22
pavel_n,efab5678-de12-4cba-bc90-ef12345678ab,Павел,Никитин,pavel.n@bionicpro.ru,2025-08-14
maria_d,98765432-1234-abcd-ef01-23456789abcd,Мария,Данилова,m.danilova@outlook.com,2025-09-09
artem_r,11223344-5566-7788-9900-aabbccddeeff,Артем,Романов,artem.r@bionicpro.ru,2025-10-01
